WORLDSCOLIDE Economy Calculator,,,,,,,,,
Version: 1.0,,,,,,,,,
Date: April 22, 2026,,,,,,,,,
,,,,,,,,,
INPUT PARAMETERS,,,,,,,,,
Difficulty Level,Easy,,,,,,,,,
,,,,,,,,,
ROOM UPGRADES (0-5),,,,,,,,,
Wood Extraction Tier,0,,,,,,,,
Stone Mining Tier,0,,,,,,,,
Magic Extraction Tier,0,,,,,,,,
Workshop Tier,0,,,,,,,,
Alchemy Tier,0,,,,,,,,
,,,,,,,,,
MEMBER ASSIGNMENTS,,,,,,,,,
Wood Extraction Members,3,,,,,,,,
Stone Mining Members,3,,,,,,,,
Magic Extraction Members,3,,,,,,,,
,,,,,,,,,
PRODUCTION CALCULATIONS (per hour),,,,,,,,,
Resource,Base Rate,Upgrade Multiplier,Effective Rate,Members,Total Production,Units,,,
Wood,10,"=POWER(1.5,A10)",=B20*C20,=A17,=D20*E20,wood/hour,,,
Stone,8,"=POWER(1.5,B10)",=B21*C21,=A18,=D21*E21,stone/hour,,,
Magic Items,6,"=POWER(1.5,C10)",=B22*C22,=A19,=D22*E22,items/hour,,,
,,,,,,,,,
ORE CONVERSION RATES,,,,,,,,,
Difficulty,Conversion Rate,Iron Ore,Crystal,Rare Ore,,,,,
Easy/Normal,6.5%,"=F21*B27","=F21*B27*0.3","=F21*B27*0.1",,,,,
Hard,12.5%,"=F21*B28","=F21*B28*0.3","=F21*B28*0.1",,,,,
Very Hard,12.5%,"=F21*B28","=F21*B28*0.3","=F21*B28*0.1",,,,,
Nightmare,12.5%,"=F21*B28","=F21*B28*0.3","=F21*B28*0.1",,,,,
,,,,,,,,,
CONSUMPTION RATES (per hour),,,,,,,,,
Difficulty,Ore Demand,Magic Items,Wood,,,,,,
Easy,0.33,0,0,,,,,,
Normal,11.5,9,0,,,,,,
Hard,113.67,12,6,,,,,,
Very Hard,21,13.5,9,,,,,,
Nightmare,35,15,15,,,,,,
,,,,,,,,,
ECONOMIC ANALYSIS,,,,,,,,,
Resource,Production,Consumption,Surplus/Deficit,Status,,,,,
Iron Ore,=C29,"=VLOOKUP(B6,B35:D39,2,FALSE)",=B42-C42,"=IF(D42>0,""SURPLUS"",""DEFICIT"")",,,,,
Magic Items,=F22,"=VLOOKUP(B6,B35:D39,3,FALSE)",=B43-C43,"=IF(D43>0,""SURPLUS"",""DEFICIT"")",,,,,
Wood,=F20,"=VLOOKUP(B6,B35:D39,4,FALSE)",=B44-C44,"=IF(D44>0,""SURPLUS"",""DEFICIT"")",,,,,
,,,,,,,,,
SPECIALIZATION IMPACT,,,,,,,,,
Specialization,Extra Slots,Production Bonus,Cost Reduction,,,,,,
Armory Master,"+1 Workshop, +1 Mine","+15% Workshop","-20% Workshop upgrades",,,,,,
Potion Master,"+2 Alchemy, +1 Magic","+20% Alchemy","-30% Alchemy upgrades",,,,,,
Generalist,None,None,None,,,,,,
,,,,,,,,,
SCENARIO ANALYSIS,,,,,,,,,
Scenario,Wood Tier,Stone Tier,Magic Tier,Members Total,Net Position,,,,,
Base Setup,0,0,0,9,"=SUM(D42:D44)",,,,,
Balanced Upgrade,2,2,2,9,"=SUM(D42:D44)",,,,,
Armory Focus,1,3,0,9,"=SUM(D42:D44)",,,,,
Potion Focus,1,0,3,9,"=SUM(D42:D44)",,,,,
Max Upgrade,5,5,5,9,"=SUM(D42:D44)",,,,,
